Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
"Bonnyrigg, Dalkeith and Gorebridge",S20001082,Gorebridge,S19001558,Midlothian,S12000019,
"Bonnyrigg, Dalkeith and Gorebridge",S20001082,Mayfield,S19001703,Midlothian,S12000019,
"Bonnyrigg, Dalkeith and Gorebridge",S20001082,Newbattle,S19001745,Midlothian,S12000019,
Bowmore,S20001083,Bowmore,S19001357,Argyll and Bute,S12000035,
Braco,S20001084,Braco,S19001358,Perth and Kinross,S12000024,
Brae,S20001085,Brae,S19001359,Shetland Islands,S12000027,
Brechin,S20001086,Brechin,S19001361,Angus,S12000041,
Bridge of Earn,S20001087,Bridge of Earn,S19001363,Perth and Kinross,S12000024,
Bridge of Weir,S20001088,Bridge of Weir,S19001364,Renfrewshire,S12000038,
Bridgend,S20001089,Bridgend,S19001365,West Lothian,S12000040,
Broadford,S20001090,Broadford,S19001367,Highland,S12000017,
Brodick,S20001091,Brodick,S19001368,North Ayrshire,S12000021,
Brookfield,S20001092,Brookfield,S19001369,Renfrewshire,S12000038,
Brora,S20001093,Brora,S19001370,Highland,S12000017,
Broxburn,S20001094,Broxburn,S19001371,West Lothian,S12000040,
Buchlyvie,S20001095,Buchlyvie,S19001372,Stirling,S12000030,
Buckie,S20001096,Buckie,S19001374,Moray,S12000020,
Burghead,S20001097,Burghead,S19001375,Moray,S12000020,
Burntisland,S20001098,Burntisland,S19001376,Fife,S12000015,
Burrelton,S20001099,Burrelton,S19001377,Perth and Kinross,S12000024,
Cairneyhill,S20001100,Cairneyhill,S19001379,Fife,S12000015,
Calderbank,S20001101,Calderbank,S19001380,North Lanarkshire,S12000044,
Caldercruix,S20001102,Caldercruix,S19001381,North Lanarkshire,S12000044,
California,S20001103,California,S19001382,Falkirk,S12000014,
Callander,S20001104,Callander,S19001383,Stirling,S12000030,
Campbeltown,S20001105,Campbeltown,S19001385,Argyll and Bute,S12000035,
Cardenden and Auchterderran,S20001106,Cardenden and Auchterderran,S19001387,Fife,S12000015,
Cardrona,S20001107,Cardrona,S19001388,Scottish Borders,S12000026,
Cardross,S20001108,Cardross,S19001389,Argyll and Bute,S12000035,
"Carluke, Settlement of",S20001109,Braidwood,S19001360,South Lanarkshire,S12000029,
"Carluke, Settlement of",S20001109,Carluke,S19001392,South Lanarkshire,S12000029,
Carmunnock,S20001110,Carmunnock,S19001393,Glasgow City,S12000046,
Carnoustie,S20001111,Carnoustie,S19001395,Angus,S12000041,
Carnwath,S20001112,Carnwath,S19001396,South Lanarkshire,S12000029,
Carstairs,S20001113,Carstairs,S19001399,South Lanarkshire,S12000029,
Carstairs Junction,S20001114,Carstairs Junction,S19001400,South Lanarkshire,S12000029,
Castle Douglas,S20001115,Castle Douglas,S19001401,Dumfries and Galloway,S12000006,
Castletown,S20001116,Castletown,S19001402,Highland,S12000017,
Catrine,S20001117,Catrine,S19001403,East Ayrshire,S12000008,
Ceres,S20001118,Ceres,S19001404,Fife,S12000015,
Chapelton,S20001119,Chapelton,S19001406,South Lanarkshire,S12000029,
Chirnside,S20001120,Chirnside,S19001407,Scottish Borders,S12000026,
"Chryston, Settlement of",S20001121,Chryston,S19001408,North Lanarkshire,S12000044,
"Chryston, Settlement of",S20001121,Muirhead,S19001730,North Lanarkshire,S12000044,
Clackmannan,S20001122,Clackmannan,S19001409,Clackmannanshire,S12000005,
Cleland,S20001123,Cleland,S19001411,North Lanarkshire,S12000044,
Coalburn,S20001124,Coalburn,S19001413,South Lanarkshire,S12000029,
Coaltown of Wemyss,S20001125,Coaltown of Wemyss,S19001416,Fife,S12000015,
Coatbridge and Airdrie,S20001126,Airdrie,S19001283,North Lanarkshire,S12000044,
Coatbridge and Airdrie,S20001126,Bargeddie,S19001330,North Lanarkshire,S12000044,
Coatbridge and Airdrie,S20001126,Chapelhall,S19001405,North Lanarkshire,S12000044,
Coatbridge and Airdrie,S20001126,Coatbridge,S19001417,North Lanarkshire,S12000044,
Cockenzie,S20001127,Cockenzie,S19001418,East Lothian,S12000010,
Coldingham,S20001128,Coldingham,S19001419,Scottish Borders,S12000026,
Coldstream,S20001129,Coldstream,S19001420,Scottish Borders,S12000026,
Comrie (Perth and Kinross),S20001130,Comrie (Perth and Kinross),S19001422,Perth and Kinross,S12000024,
Conon Bridge and Maryburgh,S20001131,Conon Bridge,S19001423,Highland,S12000017,
