Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Inverbervie,S20001276,Inverbervie,S19001598,Aberdeenshire,S12000034,
Invergordon,S20001277,Invergordon,S19001599,Highland,S12000017,
Inverkip,S20001278,Inverkip,S19001602,Inverclyde,S12000018,
Inverness and Culloden,S20001279,Balloch,S19001320,Highland,S12000017,
Inverness and Culloden,S20001279,Culloden,S19001443,Highland,S12000017,
Inverness and Culloden,S20001279,Inverness,S19001603,Highland,S12000017,
Inverness and Culloden,S20001279,Milton of Leys,S19001717,Highland,S12000017,
Inverness and Culloden,S20001279,Smithton,S19001836,Highland,S12000017,
Inverness and Culloden,S20001279,Westhill (Highland),S19001914,Highland,S12000017,
Inverurie,S20001280,Inverurie,S19001604,Aberdeenshire,S12000034,
"Irvine, Settlement of",S20001281,Dreghorn,S19001468,North Ayrshire,S12000021,
"Irvine, Settlement of",S20001281,Irvine,S19001605,North Ayrshire,S12000021,
Jedburgh,S20001282,Jedburgh,S19001606,Scottish Borders,S12000026,
Johnshaven,S20001283,Johnshaven,S19001607,Aberdeenshire,S12000034,
Keith,S20001284,Keith,S19001609,Moray,S12000020,
Kelso,S20001285,Kelso,S19001610,Scottish Borders,S12000026,
Kelty (part),S20001286,Kelty (part),S19001611,Fife,S12000015,
Kelty (part),S20001286,Kelty (part),S19001611,Perth and Kinross,S12000024,
Kemnay,S20001287,Kemnay,S19001612,Aberdeenshire,S12000034,
Kilbirnie,S20001288,Kilbirnie,S19001615,North Ayrshire,S12000021,
Kilcreggan,S20001289,Kilcreggan,S19001616,Argyll and Bute,S12000035,
Killearn,S20001290,Killearn,S19001617,Stirling,S12000030,
Killin,S20001291,Killin,S19001618,Stirling,S12000030,
Kilmacolm,S20001292,Kilmacolm,S19001619,Inverclyde,S12000018,
"Kilmarnock, Settlement of",S20001293,Hurlford and Crookedholm,S19001590,East Ayrshire,S12000008,
"Kilmarnock, Settlement of",S20001293,Kilmarnock,S19001620,East Ayrshire,S12000008,
Kilmaurs,S20001294,Kilmaurs,S19001621,East Ayrshire,S12000008,
Kilsyth,S20001295,Kilsyth,S19001622,North Lanarkshire,S12000044,
Kilwinning,S20001296,Kilwinning,S19001623,North Ayrshire,S12000021,
Kincardine,S20001297,Kincardine,S19001624,Fife,S12000015,
Kinghorn,S20001298,Kinghorn,S19001625,Fife,S12000015,
Kinglassie,S20001299,Kinglassie,S19001626,Fife,S12000015,
Kingseat (Aberdeenshire),S20001300,Kingseat (Aberdeenshire),S19001627,Aberdeenshire,S12000034,
Kingseat (Fife),S20001301,Kingseat (Fife),S19001628,Fife,S12000015,
Kingskettle and Kettlebridge,S20001302,Kingskettle and Kettlebridge,S19001629,Fife,S12000015,
Kingswells,S20001303,Kingswells,S19001630,Aberdeen City,S12000033,
Kingussie,S20001304,Kingussie,S19001631,Highland,S12000017,
Kinlochleven,S20001305,Kinlochleven,S19001632,Highland,S12000017,
Kinloss,S20001306,Kinloss,S19001633,Moray,S12000020,
Kinnesswood,S20001307,Kinnesswood,S19001634,Perth and Kinross,S12000024,
Kinross,S20001308,Kinross,S19001635,Perth and Kinross,S12000024,
Kintore,S20001309,Kintore,S19001636,Aberdeenshire,S12000034,
Kippen,S20001310,Kippen,S19001637,Stirling,S12000030,
Kirkcaldy and Dysart,S20001311,Kirkcaldy and Dysart,S19001638,Fife,S12000015,
Kirkconnel,S20001312,Kirkconnel,S19001639,Dumfries and Galloway,S12000006,
Kirkcudbright,S20001313,Kirkcudbright,S19001640,Dumfries and Galloway,S12000006,
Kirkfieldbank,S20001314,Kirkfieldbank,S19001641,South Lanarkshire,S12000029,
Kirkhill,S20001315,Kirkhill,S19001642,Highland,S12000017,
"Kirkintilloch, Settlement of",S20001316,Kirkintilloch,S19001643,East Dunbartonshire,S12000045,
"Kirkintilloch, Settlement of",S20001316,Lenzie,S19001663,East Dunbartonshire,S12000045,
Kirkliston,S20001317,Kirkliston,S19001644,City of Edinburgh,S12000036,
Kirkmuirhill and Blackwood,S20001318,Kirkmuirhill and Blackwood,S19001645,South Lanarkshire,S12000029,
Kirknewton,S20001319,Kirknewton,S19001646,West Lothian,S12000040,
Kirkwall,S20001320,Kirkwall,S19001647,Orkney Islands,S12000023,
Kirriemuir,S20001321,Kirriemuir,S19001648,Angus,S12000041,
Kyle of Lochalsh,S20001322,Kyle of Lochalsh,S19001649,Highland,S12000017,
Ladybank,S20001323,Ladybank,S19001650,Fife,S12000015,
Lamlash,S20001324,Lamlash,S19001651,North Ayrshire,S12000021,
Lanark,S20001325,Lanark,S19001652,South Lanarkshire,S12000029,
Langbank,S20001326,Langbank,S19001653,Renfrewshire,S12000038,
Langholm,S20001327,Langholm,S19001654,Dumfries and Galloway,S12000006,
Largs,S20001328,Largs,S19001656,North Ayrshire,S12000021,
"Larkhall, Settlement of",S20001329,Ashgill,S19001302,South Lanarkshire,S12000029,
"Larkhall, Settlement of",S20001329,Larkhall,S19001657,South Lanarkshire,S12000029,
Lauder,S20001330,Lauder,S19001658,Scottish Borders,S12000026,
Laurencekirk,S20001331,Laurencekirk,S19001659,Aberdeenshire,S12000034,
Law,S20001332,Law,S19001661,South Lanarkshire,S12000029,
Lennoxtown,S20001333,Lennoxtown,S19001662,East Dunbartonshire,S12000045,
Lerwick,S20001334,Lerwick,S19001664,Shetland Islands,S12000027,
Lesmahagow,S20001335,Lesmahagow,S19001666,South Lanarkshire,S12000029,
Letham,S20001336,Letham,S19001667,Angus,S12000041,
Leuchars and Guardbridge,S20001337,Guardbridge,S19001569,Fife,S12000015,
Leuchars and Guardbridge,S20001337,Leuchars,S19001668,Fife,S12000015,
Lhanbryde,S20001338,Lhanbryde,S19001670,Moray,S12000020,
Liff (part),S20001339,Liff (part),S19001671,Angus,S12000041,
Liff (part),S20001339,Liff (part),S19001671,Dundee City,S12000042,
Limekilns and Charlestown,S20001340,Limekilns and Charlestown,S19001672,Fife,S12000015,
Linlithgow,S20001341,Linlithgow,S19001673,West Lothian,S12000040,
"Livingston, Settlement of",S20001342,Livingston,S19001675,West Lothian,S12000040,
"Livingston, Settlement of",S20001342,Mid Calder,S19001709,West Lothian,S12000040,
"Livingston, Settlement of",S20001342,Polbeth,S19001785,West Lothian,S12000040,
"Livingston, Settlement of",S20001342,West Calder,S19001910,West Lothian,S12000040,
Loanhead and Bilston,S20001343,Bilston,S19001339,Midlothian,S12000019,
Loanhead and Bilston,S20001343,Loanhead,S19001676,Midlothian,S12000019,
Loans,S20001344,Loans,S19001677,South Ayrshire,S12000028,
Locharbriggs,S20001345,Locharbriggs,S19001678,Dumfries and Galloway,S12000006,
Lochgilphead,S20001346,Lochgilphead,S19001680,Argyll and Bute,S12000035,
Lochmaben,S20001347,Lochmaben,S19001681,Dumfries and Galloway,S12000006,
Lochwinnoch,S20001348,Lochwinnoch,S19001682,Renfrewshire,S12000038,
Lockerbie,S20001349,Lockerbie,S19001683,Dumfries and Galloway,S12000006,
Logan,S20001350,Logan,S19001684,East Ayrshire,S12000008,
Longforgan,S20001351,Longforgan,S19001685,Perth and Kinross,S12000024,
Longniddry,S20001352,Longniddry,S19001686,East Lothian,S12000010,
Longridge,S20001353,Longridge,S19001687,West Lothian,S12000040,
Longside,S20001354,Longside,S19001688,Aberdeenshire,S12000034,
Lossiemouth,S20001355,Lossiemouth,S19001689,Moray,S12000020,
Lower Largo and Lundin Links,S20001356,Lower Largo and Lundin Links,S19001690,Fife,S12000015,
Lumphanan,S20001357,Lumphanan,S19001691,Aberdeenshire,S12000034,
Luncarty,S20001358,Luncarty,S19001692,Perth and Kinross,S12000024,
Macduff,S20001359,Macduff,S19001693,Aberdeenshire,S12000034,
Macmerry,S20001360,Macmerry,S19001694,East Lothian,S12000010,
Mallaig,S20001361,Mallaig,S19001696,Highland,S12000017,
Marywell,S20001362,Marywell,S19001699,Aberdeenshire,S12000034,
Mauchline,S20001363,Mauchline,S19001700,East Ayrshire,S12000008,
Maud,S20001364,Maud,S19001701,Aberdeenshire,S12000034,
Maybole,S20001365,Maybole,S19001702,South Ayrshire,S12000028,
Melrose,S20001366,Melrose,S19001704,Scottish Borders,S12000026,
Menstrie,S20001367,Menstrie,S19001705,Clackmannanshire,S12000005,
"Methil, Leven and Buckhaven",S20001368,Buckhaven,S19001373,Fife,S12000015,
"Methil, Leven and Buckhaven",S20001368,Kennoway,S19001613,Fife,S12000015,
"Methil, Leven and Buckhaven",S20001368,Leven,S19001669,Fife,S12000015,
"Methil, Leven and Buckhaven",S20001368,Methil,S19001706,Fife,S12000015,
"Methil, Leven and Buckhaven",S20001368,Windygates,S19001925,Fife,S12000015,
Methlick,S20001369,Methlick,S19001707,Aberdeenshire,S12000034,
Methven,S20001370,Methven,S19001708,Perth and Kinross,S12000024,
Millport,S20001371,Millport,S19001710,North Ayrshire,S12000021,
Milnathort,S20001372,Milnathort,S19001712,Perth and Kinross,S12000024,
Milton and Kildary,S20001373,Milton and Kildary,S19001715,Highland,S12000017,
Milton of Campsie,S20001374,Milton of Campsie,S19001716,East Dunbartonshire,S12000045,
Mintlaw,S20001375,Mintlaw,S19001718,Aberdeenshire,S12000034,
Moffat,S20001376,Moffat,S19001719,Dumfries and Galloway,S12000006,
Moniaive,S20001377,Moniaive,S19001720,Dumfries and Galloway,S12000006,
"Montrose, Settlement of",S20001378,Ferryden and Inchbraoch,S19001520,Angus,S12000041,
"Montrose, Settlement of",S20001378,Montrose,S19001723,Angus,S12000041,
Moodiesburn,S20001379,Moodiesburn,S19001724,North Lanarkshire,S12000044,
Morningside,S20001380,Morningside,S19001725,North Lanarkshire,S12000044,
Mossblown,S20001381,Mossblown,S19001726,South Ayrshire,S12000028,
Mosstodloch,S20001382,Mosstodloch,S19001727,Moray,S12000020,
Motherwell and Wishaw,S20001383,Bellshill,S19001337,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Carfin,S19001390,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Holytown,S19001585,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Motherwell,S19001728,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,New Stevenston,S19001743,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Newarthill,S19001744,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Newmains,S19001751,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Viewpark,S19001901,North Lanarkshire,S12000044,
Motherwell and Wishaw,S20001383,Wishaw,S19001926,North Lanarkshire,S12000044,
Muir of Ord,S20001384,Muir of Ord,S19001729,Highland,S12000017,
Muirkirk,S20001385,Muirkirk,S19001731,East Ayrshire,S12000008,
Murthly,S20001386,Murthly,S19001732,Perth and Kinross,S12000024,
Muthill,S20001387,Muthill,S19001734,Perth and Kinross,S12000024,
Nairn,S20001388,Nairn,S19001735,Highland,S12000017,
Neilston,S20001389,Neilston,S19001736,East Renfrewshire,S12000011,
Netherburn,S20001390,Netherburn,S19001737,South Lanarkshire,S12000029,
Nethy Bridge,S20001391,Nethy Bridge,S19001739,Highland,S12000017,
New Cumnock,S20001392,New Cumnock,S19001740,East Ayrshire,S12000008,
New Deer,S20001393,New Deer,S19001741,Aberdeenshire,S12000034,
New Pitsligo,S20001394,New Pitsligo,S19001742,Aberdeenshire,S12000034,
Newbridge and Ratho Station,S20001395,Newbridge and Ratho Station,S19001746,City of Edinburgh,S12000036,
Newburgh (Aberdeenshire),S20001396,Newburgh (Aberdeenshire),S19001747,Aberdeenshire,S12000034,
Newburgh (Fife),S20001397,Newburgh (Fife),S19001748,Fife,S12000015,
Newcastleton,S20001398,Newcastleton,S19001749,Scottish Borders,S12000026,
Newmachar,S20001399,Newmachar,S19001750,Aberdeenshire,S12000034,
Newmilns,S20001400,Newmilns,S19001753,East Ayrshire,S12000008,
Newport-on-Tay and Wormit,S20001401,Newport-on-Tay and Wormit,S19001754,Fife,S12000015,
Newton Stewart,S20001402,Newton Stewart,S19001756,Dumfries and Galloway,S12000006,
Newtonhill,S20001403,Newtonhill,S19001757,Aberdeenshire,S12000034,
Newtonmore,S20001404,Newtonmore,S19001758,Highland,S12000017,
Newtown St Boswells,S20001405,Newtown St Boswells,S19001759,Scottish Borders,S12000026,
Newtyle,S20001406,Newtyle,S19001760,Angus,S12000041,
North Berwick,S20001407,North Berwick,S19001761,East Lothian,S12000010,
North Kessock,S20001408,North Kessock,S19001762,Highland,S12000017,
North Queensferry,S20001409,North Queensferry,S19001763,Fife,S12000015,
"Oakley, Carnock and Comrie",S20001410,Carnock,S19001394,Fife,S12000015,
"Oakley, Carnock and Comrie",S20001410,Comrie (Fife),S19001421,Fife,S12000015,
"Oakley, Carnock and Comrie",S20001410,Oakley,S19001764,Fife,S12000015,
Oban,S20001411,Oban,S19001765,Argyll and Bute,S12000035,
Ochiltree,S20001412,Ochiltree,S19001766,East Ayrshire,S12000008,
Oldmeldrum,S20001413,Oldmeldrum,S19001768,Aberdeenshire,S12000034,
Ormiston,S20001414,Ormiston,S19001769,East Lothian,S12000010,
"Overtown, Settlement of",S20001415,Gowkthrapple,S19001561,North Lanarkshire,S12000044,
"Overtown, Settlement of",S20001415,Overtown,S19001770,North Lanarkshire,S12000044,
Pathhead,S20001416,Pathhead,S19001772,Midlothian,S12000019,
Patna,S20001417,Patna,S19001773,East Ayrshire,S12000008,
Peebles,S20001418,Peebles,S19001774,Scottish Borders,S12000026,
Pencaitland,S20001419,Pencaitland,S19001775,East Lothian,S12000010,
Penicuik,S20001420,Penicuik,S19001776,Midlothian,S12000019,
Perth,S20001421,Perth,S19001777,Perth and Kinross,S12000024,
"Peterculter, Settlement of",S20001422,Milltimber,S19001711,Aberdeen City,S12000033,
"Peterculter, Settlement of",S20001422,Peterculter,S19001778,Aberdeen City,S12000033,
Peterhead,S20001423,Peterhead,S19001779,Aberdeenshire,S12000034,
Pitlochry,S20001424,Pitlochry,S19001780,Perth and Kinross,S12000024,
Pitmedden,S20001425,Pitmedden,S19001781,Aberdeenshire,S12000034,
Plains,S20001426,Plains,S19001783,North Lanarkshire,S12000044,
Plean,S20001427,Plean,S19001784,Stirling,S12000030,
Port Bannatyne,S20001428,Port Bannatyne,S19001787,Argyll and Bute,S12000035,
Port Ellen,S20001429,Port Ellen,S19001788,Argyll and Bute,S12000035,
Portgordon,S20001430,Portgordon,S19001790,Moray,S12000020,
Portknockie,S20001431,Portknockie,S19001791,Moray,S12000020,
Portlethen,S20001432,Portlethen,S19001792,Aberdeenshire,S12000034,
Portpatrick,S20001433,Portpatrick,S19001793,Dumfries and Galloway,S12000006,
Portree,S20001434,Portree,S19001794,Highland,S12000017,
Portsoy,S20001435,Portsoy,S19001795,Aberdeenshire,S12000034,
Potterton,S20001436,Potterton,S19001796,Aberdeenshire,S12000034,
Prestonpans,S20001437,Prestonpans,S19001797,East Lothian,S12000010,
Quarrier's Village,S20001438,Quarrier's Village,S19001799,Inverclyde,S12000018,
Quarter,S20001439,Quarter,S19001800,South Lanarkshire,S12000029,
Queenzieburn,S20001440,Queenzieburn,S19001801,North Lanarkshire,S12000044,
Ratho,S20001441,Ratho,S19001802,City of Edinburgh,S12000036,
Rigside,S20001442,Rigside,S19001808,South Lanarkshire,S12000029,
Rosehearty,S20001443,Rosehearty,S19001809,Aberdeenshire,S12000034,
Rosemarkie,S20001444,Rosemarkie,S19001810,Highland,S12000017,
Rosewell,S20001445,Rosewell,S19001811,Midlothian,S12000019,
Roslin,S20001446,Roslin,S19001812,Midlothian,S12000019,
Rosneath,S20001447,Rosneath,S19001813,Argyll and Bute,S12000035,
Rothes,S20001448,Rothes,S19001815,Moray,S12000020,
Rothesay,S20001449,Rothesay,S19001816,Argyll and Bute,S12000035,
Rothienorman,S20001450,Rothienorman,S19001817,Aberdeenshire,S12000034,
Saline,S20001451,Saline,S19001820,Fife,S12000015,
Salsburgh,S20001452,Salsburgh,S19001821,North Lanarkshire,S12000044,
"Saltcoats, Settlement of",S20001453,Ardrossan,S19001300,North Ayrshire,S12000021,
"Saltcoats, Settlement of",S20001453,Saltcoats,S19001822,North Ayrshire,S12000021,
"Saltcoats, Settlement of",S20001453,Stevenston,S19001853,North Ayrshire,S12000021,
Sandhaven,S20001454,Sandhaven,S19001824,Aberdeenshire,S12000034,
Sanquhar,S20001455,Sanquhar,S19001826,Dumfries and Galloway,S12000006,
Scalloway,S20001456,Scalloway,S19001828,Shetland Islands,S12000027,
Scone,S20001457,Scone,S19001829,Perth and Kinross,S12000024,
Seafield,S20001458,Seafield,S19001830,West Lothian,S12000040,
Selkirk,S20001459,Selkirk,S19001831,Scottish Borders,S12000026,
Shieldhill,S20001460,Shieldhill,S19001832,Falkirk,S12000014,
Shotts,S20001461,Shotts,S19001833,North Lanarkshire,S12000044,
Slamannan,S20001462,Slamannan,S19001835,Falkirk,S12000014,
South Queensferry,S20001463,South Queensferry,S19001837,City of Edinburgh,S12000036,
Spean Bridge,S20001464,Spean Bridge,S19001838,Highland,S12000017,
Springfield,S20001465,Springfield,S19001839,Fife,S12000015,
Springside,S20001466,Springside,S19001840,North Ayrshire,S12000021,
St Andrews,S20001467,St Andrews,S19001841,Fife,S12000015,
St Boswells,S20001468,St Boswells,S19001842,Scottish Borders,S12000026,
St Combs,S20001469,St Combs,S19001843,Aberdeenshire,S12000034,
St Cyrus,S20001470,St Cyrus,S19001844,Aberdeenshire,S12000034,
St Fergus,S20001471,St Fergus,S19001845,Aberdeenshire,S12000034,
St Madoes and Glencarse,S20001472,St Madoes and Glencarse,S19001846,Perth and Kinross,S12000024,
St Monans,S20001473,St Monans,S19001847,Fife,S12000015,
Stanley,S20001474,Stanley,S19001849,Perth and Kinross,S12000024,
"Steornabhagh (Stornoway), Settlement of",S20001475,"Newmarket, Lacasdal and Bruach Mairi (Newmarket, Laxdale and Marybank)",S19001752,Na h-Eileanan Siar,S12000013,
"Steornabhagh (Stornoway), Settlement of",S20001475,Sanndabhaig (Sandwick),S19001825,Na h-Eileanan Siar,S12000013,
"Steornabhagh (Stornoway), Settlement of",S20001475,Steornabhagh (Stornoway),S19001851,Na h-Eileanan Siar,S12000013,
Stewarton,S20001476,Stewarton,S19001854,East Ayrshire,S12000008,
"Stirling, Settlement of",S20001477,Bannockburn,S19001329,Stirling,S12000030,
"Stirling, Settlement of",S20001477,Bridge of Allan,S19001362,Stirling,S12000030,
"Stirling, Settlement of",S20001477,Stirling,S19001855,Stirling,S12000030,
Stonehaven,S20001478,Stonehaven,S19001856,Aberdeenshire,S12000034,
Stonehouse,S20001479,Stonehouse,S19001857,South Lanarkshire,S12000029,
"Stoneyburn, Settlement of",S20001480,Addiewell,S19001282,West Lothian,S12000040,
"Stoneyburn, Settlement of",S20001480,Stoneyburn,S19001858,West Lothian,S12000040,
Stow,S20001481,Stow,S19001859,Scottish Borders,S12000026,
Stranraer,S20001482,Stranraer,S19001860,Dumfries and Galloway,S12000006,
Strathaven,S20001483,Strathaven,S19001861,South Lanarkshire,S12000029,
Strathblane,S20001484,Strathblane,S19001862,Stirling,S12000030,
Strathkinness,S20001485,Strathkinness,S19001863,Fife,S12000015,
Strathmiglo,S20001486,Strathmiglo,S19001864,Fife,S12000015,
Strathpeffer,S20001487,Strathpeffer,S19001865,Highland,S12000017,
Strichen,S20001488,Strichen,S19001866,Aberdeenshire,S12000034,
Stromness,S20001489,Stromness,S19001867,Orkney Islands,S12000023,
Stuartfield,S20001490,Stuartfield,S19001868,Aberdeenshire,S12000034,
Symington (South Ayrshire),S20001491,Symington (South Ayrshire),S19001869,South Ayrshire,S12000028,
Symington (South Lanarkshire),S20001492,Symington (South Lanarkshire),S19001870,South Lanarkshire,S12000029,
Tain,S20001493,Tain,S19001871,Highland,S12000017,
Tarbert,S20001494,Tarbert,S19001872,Argyll and Bute,S12000035,
Tarbolton,S20001495,Tarbolton,S19001873,South Ayrshire,S12000028,
Tarland,S20001496,Tarland,S19001874,Aberdeenshire,S12000034,
Tarves,S20001497,Tarves,S19001875,Aberdeenshire,S12000034,
Tayport,S20001498,Tayport,S19001876,Fife,S12000015,
Thankerton,S20001499,Thankerton,S19001877,South Lanarkshire,S12000029,
Thornhill (Dumfries and Galloway),S20001500,Thornhill (Dumfries and Galloway),S19001878,Dumfries and Galloway,S12000006,
Thornhill (Stirling),S20001501,Thornhill (Stirling),S19001879,Stirling,S12000030,
Thorntonhall,S20001502,Thorntonhall,S19001882,South Lanarkshire,S12000029,
Thurso,S20001503,Thurso,S19001883,Highland,S12000017,
Tighnabruaich,S20001504,Tighnabruaich,S19001884,Argyll and Bute,S12000035,
"Tillicoultry, Settlement of",S20001505,Coalsnaughton,S19001414,Clackmannanshire,S12000005,
"Tillicoultry, Settlement of",S20001505,Tillicoultry,S19001885,Clackmannanshire,S12000005,
Tobermory,S20001506,Tobermory,S19001886,Argyll and Bute,S12000035,
Torphichen,S20001507,Torphichen,S19001887,West Lothian,S12000040,
Torphins,S20001508,Torphins,S19001888,Aberdeenshire,S12000034,
Torrance,S20001509,Torrance,S19001889,East Dunbartonshire,S12000045,
Townhill,S20001510,Townhill,S19001891,Fife,S12000015,
Tranent,S20001511,Tranent,S19001892,East Lothian,S12000010,
Troon,S20001512,Troon,S19001893,South Ayrshire,S12000028,
"Tullibody, Settlement of",S20001513,Glenochil Village,S19001555,Clackmannanshire,S12000005,
"Tullibody, Settlement of",S20001513,Tullibody,S19001894,Clackmannanshire,S12000005,
Turriff,S20001514,Turriff,S19001895,Aberdeenshire,S12000034,
Twechar,S20001515,Twechar,S19001896,East Dunbartonshire,S12000045,
Ullapool,S20001516,Ullapool,S19001899,Highland,S12000017,
Uplawmoor,S20001517,Uplawmoor,S19001900,East Renfrewshire,S12000011,
Vale of Leven,S20001518,Alexandria,S19001285,West Dunbartonshire,S12000039,
Vale of Leven,S20001518,Balloch and Haldane,S19001321,West Dunbartonshire,S12000039,
Vale of Leven,S20001518,Bonhill,S19001352,West Dunbartonshire,S12000039,
Vale of Leven,S20001518,Renton,S19001806,West Dunbartonshire,S12000039,
Walkerburn,S20001519,Walkerburn,S19001902,Scottish Borders,S12000026,
Waterfoot,S20001520,Waterfoot,S19001905,East Renfrewshire,S12000011,
Wattston and Greengairs,S20001521,Greengairs,S19001564,North Lanarkshire,S12000044,
Wattston and Greengairs,S20001521,Wattston,S19001906,North Lanarkshire,S12000044,
Wellbank,S20001522,Wellbank,S19001907,Angus,S12000041,
"Wemyss Bay, Settlement of (part)",S20001523,Skelmorlie,S19001834,North Ayrshire,S12000021,
"Wemyss Bay, Settlement of (part)",S20001523,Wemyss Bay,S19001908,Inverclyde,S12000018,
West Barns,S20001524,West Barns,S19001909,East Lothian,S12000010,
West Kilbride,S20001525,West Kilbride,S19001911,North Ayrshire,S12000021,
West Linton,S20001526,West Linton,S19001912,Scottish Borders,S12000026,
Westhill (Aberdeenshire),S20001527,Westhill (Aberdeenshire),S19001913,Aberdeenshire,S12000034,
"Whitburn, Settlement of",S20001528,East Whitburn,S19001498,West Lothian,S12000040,
"Whitburn, Settlement of",S20001528,Whitburn,S19001916,West Lothian,S12000040,
Whitecraig,S20001529,Whitecraig,S19001917,East Lothian,S12000010,
Whitecross,S20001530,Whitecross,S19001918,Falkirk,S12000014,
Whitehills,S20001531,Whitehills,S19001919,Aberdeenshire,S12000034,
Whithorn,S20001532,Whithorn,S19001920,Dumfries and Galloway,S12000006,
Whiting Bay,S20001533,Whiting Bay,S19001921,North Ayrshire,S12000021,
Wick,S20001534,Wick,S19001922,Highland,S12000017,
Wigtown,S20001535,Wigtown,S19001923,Dumfries and Galloway,S12000006,
Winchburgh,S20001536,Winchburgh,S19001924,West Lothian,S12000040,
Yetholm,S20001537,Yetholm,S19001927,Scottish Borders,S12000026,
,,,,,,
Footnotes,,,,,,
1) Settlements and localities which cross Council area boundaries have been split into parts.,,,,,,
2) Where the locality within a settlement is not co-incidental but shares a name then the settlement has been explicitly identified,,,,,,
,,,,,,
� Crown Copyright 2018,,,,,,
